"Date","October-20-2023"
"Time","17h23m38s"
"PAX Card Serial","M00255249"
"PAX Card Name","PAX5710 Polarization Analyzing System"
"PAX Card Next Cal","September-19-2013"
"PAX Sensor Serial","M00255490"
"PAX Sensor Name","PAN5710VIS (400 - 700nm)"
"PAX Sensor Next Cal","September-19-2012"
"Wavelength [m]",6.330000e-07
"Basic Sample Rate [SPS]",6.666670e+01
"Power Range [dBm]","Auto"
"Azimuth Offset [°]",0.000000e+00
"Number of Basic Periods",1
"Signal Averaging",1
"Result Averaging",1
"Sample Time [s]",1.499999e-02
"Number of Measurements",1024
"Record Rate",8
"Record Time [s]",1.228799e+02
"Pretrigger Measurements",0
"Pretrigger Time [s]",0.000000e+00
"Trigger Source","Auto"
"Time Stamp [s]","Stokes 1","Stokes 2","Stokes 3","Azimuth [°]","Ellipticity [°]","Power Split Ratio","Phase Difference [°]","DOP [%]","Power [dBm]","Power [W]"
1.151999e+01,-4.715152e-01,8.677996e-01,-1.568351e-01,5.925863e+01,-4.511621e+00,2.642424e-01,-1.024433e+01,1.349110e+00,-2.125929e+01,7.482924e-06,
1.163999e+01,-4.829769e-01,8.623409e-01,-1.519917e-01,5.962608e+01,-4.371183e+00,2.585115e-01,-9.995988e+00,1.351998e+00,-2.125964e+01,7.482318e-06,
1.175999e+01,-4.748714e-01,8.676367e-01,-1.473215e-01,5.934629e+01,-4.235869e+00,2.625643e-01,-9.636704e+00,1.363916e+00,-2.126014e+01,7.481446e-06,
1.187999e+01,-4.714978e-01,8.685876e-01,-1.524644e-01,5.924728e+01,-4.384884e+00,2.642511e-01,-9.955784e+00,1.350083e+00,-2.125925e+01,7.482990e-06,
1.199999e+01,-4.815594e-01,8.624831e-01,-1.556390e-01,5.958820e+01,-4.476929e+00,2.592203e-01,-1.022920e+01,1.357458e+00,-2.126004e+01,7.481626e-06,
1.211999e+01,-4.700269e-01,8.695303e-01,-1.516301e-01,5.919678e+01,-4.360703e+00,2.649866e-01,-9.891866e+00,1.358795e+00,-2.125919e+01,7.483090e-06,
1.223999e+01,-4.814111e-01,8.624380e-01,-1.563461e-01,5.958508e+01,-4.497437e+00,2.592944e-01,-1.027521e+01,1.344089e+00,-2.125921e+01,7.483058e-06,
1.235999e+01,-4.700723e-01,8.707816e-01,-1.441230e-01,5.918071e+01,-4.143250e+00,2.649638e-01,-9.397827e+00,1.363180e+00,-2.125869e+01,7.483956e-06,
1.247999e+01,-4.797982e-01,8.640042e-01,-1.526121e-01,5.952213e+01,-4.389166e+00,2.601009e-01,-1.001703e+01,1.355481e+00,-2.125895e+01,7.483505e-06,
1.259999e+01,-4.703681e-01,8.696240e-01,-1.500266e-01,5.920419e+01,-4.314233e+00,2.648159e-01,-9.788256e+00,1.360445e+00,-2.125942e+01,7.482692e-06,
